,QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
1,QPCW-43,CTM,Level,Y,Y,38,20,36.22,1116.22,N,477,NULL,-999997,-999997,17,7,5,-999997,NULL
2,XXHO-52,CTM,Level accelerated,Y,N,47,10,29.36,673.04,N,562,3,-999997,3,9,8,4,0,-999997
3,KTGM-13,Direct,Decreasing with CI,N,Y,47,10,20,452.07,N,472,8,21,4,9,7,4,2,12
4,LKFU-15,MSM,Level with CI,Y,N,37,5,20,452.07,N,472,8,21,4,9,7,4,2,12
5,OZIK-66,Direct,Level with CI,N,Y,35,20,22.41,572.16,N,563,2,-999997,2,17,5,3,0,-999997
6,FBJY-71,CTM,Decreasing with CI,N,N,59,30,18.03,439.97,N,563,2,-999997,2,17,5,3,0,-999997
7,FBJY-71,CTM,Decreasing with CI,N,N,59,30,18.03,439.97,N,563,2,-999997,2,17,5,3,0,-999997
8,FMHS-74,CTM,Decreasing with CI,Y,N,47,30,19.69,432.44,N,563,2,-999997,2,17,5,3,0,-999997
9,KBEK-14,CTM,Decreasing accelerated,Y,Y,34,30,14.66,323.73,N,563,2,-999997,2,17,5,3,0,-999997
10,KBEK-14,CTM,Decreasing accelerated,Y,Y,34,30,14.66,323.73,N,563,2,-999997,2,17,5,3,0,-999997
11,KBEK-14,CTM,Decreasing accelerated,Y,Y,34,30,14.66,323.73,N,563,2,-999997,2,17,5,3,0,-999997
12,PVFR-33,MSM,Decreasing with CI,Y,N,43,10,28.82,703.84,N,560,1,-999997,5,{ND},6,99,0,-999997
13,XNHJ-60,CTM,Decreasing with CI,Y,N,34,20,28.82,703.84,N,560,1,-999997,5,{ND},6,99,0,-999997
14,EGVY-50,MSM,Level with CI,Y,Y,49,40,43.15,1112.31,N,565,3,7,6,7,3,6,0,-999997
15,EGVY-50,MSM,Level with CI,Y,Y,49,40,43.15,1112.31,N,565,3,7,6,7,3,6,0,-999997
16,FWPX-43,MSM,Decreasing with CI,Y,Y,42,20,11.05,228.57,Y,558,2,-999997,6,14,4,2,0,-999997
17,OKEN-22,CTM,Level with CI,Y,Y,44,30,8.22,160.45,Y,558,2,-999997,6,14,4,2,0,-999997
