QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
QPCW-43,CTM,Level,1.0,1,38.0,20,36.22,1116.22,0,477.0,,,,17,7,5.0,,
XXHO-52,CTM,Level accelerated,1.0,0,47.0,10,29.36,673.04,0,562.0,3.0,,3.0,9,8,4.0,0.0,
KTGM-13,Direct,Decreasing with CI,0.0,1,47.0,10,20.0,452.07,0,472.0,8.0,21.0,4.0,9,7,4.0,2.0,12.0
LKFU-15,MSM,Level with CI,1.0,0,37.0,5,20.0,452.07,0,472.0,8.0,21.0,4.0,9,7,4.0,2.0,12.0
OZIK-66,Direct,Level with CI,0.0,1,35.0,20,22.41,572.16,0,563.0,2.0,,2.0,17,5,3.0,0.0,
FBJY-71,CTM,Decreasing with CI,0.0,0,59.0,30,18.03,439.97,0,563.0,2.0,,2.0,17,5,3.0,0.0,
FMHS-74,CTM,Decreasing with CI,1.0,0,47.0,30,19.69,432.44,0,563.0,2.0,,2.0,17,5,3.0,0.0,
KBEK-14,CTM,Decreasing accelerated,1.0,1,34.0,30,14.66,323.73,0,563.0,2.0,,2.0,17,5,3.0,0.0,
PVFR-33,MSM,Decreasing with CI,1.0,0,43.0,10,28.82,703.84,0,560.0,1.0,,5.0,,6,,0.0,
XNHJ-60,CTM,Decreasing with CI,1.0,0,34.0,20,28.82,703.84,0,560.0,1.0,,5.0,,6,,0.0,
EGVY-50,MSM,Level with CI,1.0,1,49.0,40,43.15,1112.31,0,565.0,3.0,7.0,6.0,7,3,6.0,0.0,
FWPX-43,MSM,Decreasing with CI,1.0,1,42.0,20,11.05,228.57,1,558.0,2.0,,6.0,14,4,2.0,0.0,
OKEN-22,CTM,Level with CI,1.0,1,44.0,30,8.22,160.45,1,558.0,2.0,,6.0,14,4,2.0,0.0,
UCDW-29,Direct,Decreasing,0.0,0,45.0,30,8.22,160.45,1,558.0,2.0,,6.0,14,4,2.0,0.0,
AUQG-85,CTM,Level with CI,1.0,1,45.0,5,8.0,156.23,1,558.0,2.0,,6.0,14,4,2.0,0.0,
EXOK-80,CTM,Level with CI,1.0,0,36.0,20,8.22,160.45,1,558.0,2.0,,6.0,14,4,2.0,0.0,
OGQZ-96,CTM,Decreasing with CI,1.0,0,62.0,20,68.55,1759.9,0,569.0,4.0,21.0,12.0,11,4,2.0,0.0,
JCZW-12,MSM,Decreasing with CI,1.0,0,44.0,20,56.96,1513.85,0,569.0,4.0,21.0,12.0,11,4,2.0,0.0,
YQQS-67,Direct,Decreasing,1.0,0,50.0,30,79.48,2200.93,0,569.0,4.0,21.0,12.0,11,4,2.0,0.0,
OEUC-15,CTM,Decreasing with CI,0.0,0,46.0,10,35.67,756.94,0,569.0,4.0,21.0,12.0,11,4,2.0,0.0,
JXMD-49,Direct,Decreasing,1.0,0,48.0,10,24.08,510.89,0,569.0,4.0,21.0,12.0,11,4,2.0,0.0,
SJEP-27,MSM,Level,0.0,1,52.0,10,10.27,248.51,0,558.0,0.0,20.0,3.0,15,5,6.0,0.0,
UNHR-92,CTM,Level with CI,1.0,0,64.0,30,8.38,181.28,0,558.0,0.0,20.0,3.0,15,5,6.0,0.0,
ZDCF-51,CTM,Decreasing,0.0,0,55.0,30,8.35,200.81,0,523.0,10.0,,13.0,24,7,6.0,0.0,
FZYE-87,Direct,Decreasing with CI,0.0,0,33.0,15,22.41,572.16,0,563.0,2.0,,2.0,17,5,3.0,0.0,
JMYL-99,Direct,Decreasing with CI,0.0,1,44.0,5,18.03,439.97,0,563.0,2.0,,2.0,17,5,3.0,0.0,
WOLV-47,Direct,Level,1.0,1,35.0,20,18.03,439.97,0,563.0,2.0,,2.0,17,5,3.0,0.0,
GNIM-32,CTM,Level,0.0,0,43.0,30,19.69,432.44,0,563.0,2.0,,2.0,17,5,3.0,0.0,
PLSA-47,CTM,Level,1.0,0,37.0,20,14.66,323.73,0,563.0,2.0,,2.0,17,5,3.0,0.0,
COHE-87,Direct,Decreasing,1.0,0,59.0,20,14.66,323.73,0,563.0,2.0,,2.0,17,5,3.0,0.0,
WQLA-74,CTM,Level,1.0,1,35.0,20,14.66,323.73,0,563.0,2.0,,2.0,17,5,3.0,0.0,
WENZ-86,CTM,Decreasing accelerated,0.0,0,52.0,5,28.8,826.13,0,516.0,,,,8,3,5.0,,
QOBX-32,CTM,Decreasing with CI,1.0,1,45.0,5,28.8,826.13,0,516.0,,,,8,3,5.0,,
SSDT-62,CTM,Decreasing with CI,0.0,1,45.0,20,28.8,826.13,0,516.0,,,,8,3,5.0,,
VDOO-34,Direct,Level with CI,1.0,0,29.0,20,23.36,737.46,0,471.0,,,,21,7,4.0,,
TLYR-28,Direct,Decreasing,0.0,0,38.0,5,23.36,737.46,0,471.0,,,,21,7,4.0,,
SKGB-84,Direct,Level,0.0,0,49.0,20,23.36,737.46,0,471.0,,,,21,7,4.0,,
KYHL-65,Direct,Decreasing,0.0,1,60.0,30,20.16,653.21,0,471.0,,,,21,7,4.0,,
