QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
OAJY-27,MSM,Decreasing,0.0,1.0,46.0,30,14.48,287.99,0.0,577.0,1.0,,8.0,7.0,3.0,7.0,0.0,
HWIQ-94,CTM,Level,1.0,1.0,48.0,20,34.46,935.38,1.0,,,,,,,,,
OMVQ-73,MSM,Decreasing,1.0,1.0,49.0,20,32.39,781.61,1.0,,,,,,,,,
BVGP-89,MSM,Decreasing with CI,0.0,0.0,32.0,30,46.11,1132.71,1.0,549.0,1.0,36.0,4.0,18.0,6.0,8.0,0.0,
HKJR-67,CTM,Decreasing,1.0,0.0,39.0,10,5.19,91.26,0.0,580.0,3.0,,0.0,11.0,5.0,8.0,0.0,
PVYS-97,CTM,Decreasing with CI,1.0,0.0,40.0,15,22.6,662.45,0.0,,,,,,,,,
EDAT-40,CTM,Level accelerated,0.0,0.0,47.0,30,10.7,249.52,0.0,541.0,3.0,37.0,21.0,16.0,7.0,5.0,0.0,
PRAX-14,CTM,Decreasing with CI,1.0,0.0,36.0,30,10.0,278.7,0.0,559.0,5.0,,14.0,18.0,3.0,9.0,0.0,
NLFS-35,MSM,Level with CI,0.0,1.0,49.0,10,25.11,473.53,1.0,,,,,,,,,
ISHV-34,MSM,Level with CI,0.0,1.0,44.0,30,33.78,693.55,0.0,572.0,3.0,,6.0,6.0,3.0,7.0,0.0,
YXYZ-45,CTM,Decreasing,1.0,1.0,38.0,10,15.69,212.36,0.0,569.0,0.0,10.0,9.0,6.0,3.0,1.0,0.0,
QFBV-43,MSM,Level,1.0,1.0,46.0,25,28.47,747.14,1.0,558.0,3.0,,5.0,11.0,4.0,3.0,0.0,
WREE-14,MSM,Decreasing with CI,0.0,0.0,32.0,20,54.09,1216.44,0.0,,,,,,,,,
GKQA-41,Direct,Decreasing,1.0,1.0,36.0,10,20.0,461.71,0.0,562.0,5.0,,6.0,21.0,6.0,2.0,0.0,
ERBW-77,Direct,Level accelerated,0.0,0.0,53.0,20,52.86,1287.03,0.0,579.0,0.0,,8.0,7.0,4.0,3.0,0.0,
KYUP-91,CTM,Level accelerated,1.0,1.0,32.0,20,10.35,281.27,1.0,556.0,1.0,10.0,12.0,13.0,7.0,8.0,0.0,
CLUU-45,CTM,Level,1.0,0.0,47.0,15,34.46,935.38,1.0,,,,,,,,,
WVGE-25,CTM,Decreasing with CI,1.0,0.0,33.0,20,144.95,4597.52,0.0,,,,,,,,,
TGUG-72,MSM,Level,1.0,1.0,64.0,20,41.4,1104.2,0.0,572.0,3.0,,8.0,16.0,3.0,8.0,0.0,
YEAB-29,Direct,Level,0.0,0.0,45.0,15,11.73,349.11,0.0,,,,,,,,,
QTBZ-93,Direct,Decreasing accelerated,1.0,0.0,24.0,20,21.97,502.47,0.0,567.0,9.0,,12.0,8.0,4.0,2.0,0.0,
ADXK-47,CTM,Level with CI,0.0,0.0,36.0,10,5.54,146.88,1.0,559.0,4.0,,4.0,6.0,2.0,5.0,0.0,
XAUZ-62,CTM,Decreasing with CI,1.0,1.0,56.0,20,46.38,1171.76,0.0,545.0,3.0,,28.0,20.0,6.0,10.0,0.0,
PPCM-81,CTM,Level,1.0,1.0,40.0,20,10.57,300.16,1.0,575.0,0.0,49.0,1.0,9.0,5.0,7.0,0.0,
GPZT-87,Direct,Level with CI,1.0,0.0,33.0,30,5.24,115.01,0.0,553.0,1.0,,10.0,20.0,6.0,7.0,0.0,
YCLX-78,CTM,Level with CI,1.0,1.0,58.0,20,7.64,105.84,1.0,580.0,3.0,,0.0,11.0,5.0,8.0,0.0,
RYKD-34,MSM,Level with CI,1.0,1.0,49.0,30,221.95,6706.2,0.0,,,,,,,,,
LUXI-42,Direct,Level with CI,0.0,0.0,52.0,25,13.0,377.78,1.0,587.0,7.0,,12.0,9.0,5.0,2.0,0.0,
MCEM-47,MSM,Level,1.0,1.0,46.0,20,15.31,387.16,0.0,585.0,0.0,84.0,1.0,8.0,3.0,5.0,0.0,
PPGI-20,CTM,Level,1.0,0.0,44.0,30,39.17,1159.63,0.0,560.0,1.0,,5.0,,6.0,,0.0,
FNGE-29,Direct,Decreasing,1.0,1.0,44.0,10,35.27,875.17,0.0,561.0,3.0,49.0,3.0,16.0,2.0,5.0,0.0,
FFJP-73,Direct,Level with CI,1.0,1.0,48.0,30,16.02,301.98,0.0,569.0,2.0,,6.0,16.0,3.0,6.0,0.0,
BRFA-36,Direct,Decreasing with CI,0.0,1.0,60.0,10,22.81,612.0,0.0,,,,,,,,,
TJTE-83,CTM,Decreasing,1.0,0.0,54.0,30,85.25,2046.59,0.0,,,,,,,,,
CQYA-72,Direct,Level,0.0,0.0,47.0,5,10.38,351.06,0.0,489.0,,,,22.0,7.0,8.0,,
GPQM-79,MSM,Level with CI,1.0,1.0,50.0,40,117.19,3624.7,0.0,546.0,3.0,55.0,8.0,12.0,6.0,7.0,0.0,
XJFN-12,CTM,Level with CI,1.0,0.0,47.0,25,10.59,254.54,0.0,,,,,,,,,
CPSP-24,CTM,Level,1.0,0.0,45.0,5,54.38,1645.9,1.0,,,,,,,,,
CYVE-44,CTM,Level,0.0,1.0,53.0,15,22.56,604.31,0.0,,,,,,,,,
QZHM-31,CTM,Decreasing accelerated,1.0,0.0,32.0,10,23.68,576.3,0.0,561.0,3.0,49.0,3.0,16.0,2.0,5.0,0.0,
BQOY-78,MSM,Level with CI,0.0,1.0,50.0,15,16.02,301.98,0.0,569.0,2.0,,6.0,16.0,3.0,6.0,0.0,
DFPY-93,Direct,Decreasing with CI,1.0,0.0,32.0,20,17.07,477.05,0.0,,,,,,,,,
MKIT-54,CTM,Level,1.0,1.0,46.0,20,9.97,108.48,0.0,545.0,2.0,,10.0,13.0,6.0,10.0,0.0,
RCAL-70,MSM,Decreasing with CI,0.0,1.0,49.0,20,26.99,783.73,0.0,554.0,2.0,12.0,1.0,12.0,3.0,4.0,0.0,
VFHT-67,MSM,Level,0.0,0.0,39.0,25,79.48,2200.93,0.0,569.0,4.0,21.0,12.0,11.0,4.0,2.0,0.0,
UAON-40,CTM,Level with CI,0.0,1.0,50.0,20,60.78,1277.41,0.0,565.0,2.0,,6.0,13.0,3.0,1.0,0.0,
GUTE-70,Direct,Level with CI,1.0,0.0,43.0,5,50.02,1470.54,0.0,564.0,1.0,20.0,3.0,10.0,4.0,2.0,0.0,
GVSS-55,MSM,Level,0.0,0.0,39.0,20,220.49,6866.28,0.0,546.0,3.0,55.0,8.0,12.0,6.0,7.0,0.0,
UTOX-51,Direct,Level with CI,1.0,1.0,21.0,25,15.68,384.07,0.0,,,,,,,,,
NQKX-87,MSM,Decreasing with CI,1.0,1.0,48.0,10,6.46,100.02,1.0,538.0,7.0,20.0,7.0,19.0,7.0,10.0,0.0,
SKJB-64,CTM,Level with CI,0.0,0.0,54.0,5,49.18,1349.8,0.0,565.0,5.0,,20.0,14.0,4.0,5.0,0.0,
EQGG-75,Direct,Level,0.0,0.0,58.0,20,101.52,2739.54,0.0,550.0,4.0,,6.0,13.0,5.0,7.0,0.0,
RBIA-59,Direct,Decreasing,1.0,0.0,46.0,30,51.25,884.2,0.0,555.0,3.0,21.0,7.0,14.0,5.0,7.0,0.0,
BGFH-96,CTM,Decreasing,0.0,0.0,46.0,10,23.64,629.88,1.0,537.0,1.0,28.0,3.0,17.0,6.0,3.0,0.0,
OYHR-94,CTM,Level accelerated,1.0,0.0,39.0,20,43.1,1165.86,1.0,561.0,4.0,,3.0,,5.0,,0.0,
MXMJ-60,CTM,Level,1.0,1.0,57.0,10,19.8,464.68,0.0,551.0,4.0,,32.0,10.0,4.0,6.0,0.0,
DIHC-33,MSM,Level,1.0,0.0,43.0,30,12.55,430.93,0.0,540.0,0.0,,5.0,22.0,7.0,5.0,0.0,
BREB-93,CTM,Decreasing accelerated,1.0,1.0,36.0,30,68.02,1364.51,0.0,,,,,,,,,
KEMS-87,Direct,Decreasing accelerated,0.0,1.0,47.0,20,25.24,582.69,1.0,579.0,3.0,21.0,3.0,10.0,5.0,4.0,0.0,
DDTR-20,Direct,Level accelerated,0.0,1.0,62.0,20,23.69,599.78,0.0,551.0,2.0,,6.0,23.0,6.0,3.0,0.0,
GTAU-52,Direct,Level with CI,1.0,0.0,47.0,30,44.3,1067.85,0.0,560.0,1.0,,5.0,,6.0,,0.0,
JQMX-78,CTM,Decreasing,0.0,1.0,28.0,20,23.83,612.02,1.0,558.0,2.0,,0.0,5.0,8.0,5.0,0.0,
OWPF-70,Direct,Level with CI,1.0,1.0,48.0,30,29.33,791.79,1.0,,,,,,,,,
RYUQ-41,CTM,Level with CI,0.0,1.0,45.0,25,36.52,810.32,0.0,576.0,4.0,,6.0,8.0,3.0,2.0,0.0,
